"CDSR.id","ma.id","study.name","sens","sens.lb","sens.ub","spec","spec.lb","spec.ub","TP","FP","FN","TN"
"CD009323",280,"Contreras 2009",0.7,0.347547006607056,0.933260631561279,1,0.781980991363525,1,7,0,3,15
"CD009323",280,"Fernandez-Castillo 1995",0.341772151898734,0.238702641257757,0.457099310959442,1,0.884296894073486,1,27,0,52,30
"CD009323",280,"John 1995",0.5,0.306471347808838,0.693528652191162,1,0.735351085662842,1,14,0,14,12
"CD009323",280,"Kishiwada 2002",1,0.691503047943115,1,1,0.540741443634033,1,10,0,0,6
"CD009323",280,"Lavy 2012",0.357142857142857,0.127598558153425,0.648619890213013,1,0.907487392425537,1,5,0,9,38
"CD009323",280,"Menack 2001",0.444444444444444,0.136995527479384,0.787991576724582,1,0.814697742462158,1,4,0,5,18
"CD009323",280,"Merchant 1998",0.852459016393443,0.776879388777936,0.910151028242268,1,0.979825496673584,1,104,0,18,181
"CD009323",280,"Reddy 1999",0.783783783783784,0.617863513327934,0.901734635636613,1,0.941318988800049,1,29,0,8,61
"CD009323",280,"Reed 1997",0.222222222222222,0.028145260281033,0.600093576643202,1,0.158113956451416,1,2,0,7,2
"CD009323",280,"Shah 2008",0.916666666666667,0.615203976631165,0.997892697652181,1,0.590384006500244,1,11,0,1,7
"CD009323",280,"Warshaw 1986",0.823529411764706,0.565682074602912,0.962014703189625,1,0.851814746856689,1,14,0,3,23
"CD009372",282,"Delgado Almandoz 2009",0.931818181818182,0.813437862829729,0.985712311484597,0.984375,0.915989600121975,0.99960470199585,41,1,3,63
"CD009372",282,"Eshwar Chandra 1998",0.875,0.676388561725616,0.973440647125244,0.95,0.751266884803772,0.998734664916992,21,1,3,19
"CD009372",282,"Ma 2012",0.935483870967742,0.785783844609414,0.992088563980595,1,0.941318988800049,1,29,0,2,61
"CD009372",282,"Murai 1999",0.833333333333333,0.358765522638957,0.995789527893066,1,0.862814426422119,1,5,0,1,25
"CD009372",282,"Romero 2009",1,0.752947330474854,1,1,0.397634983062744,1,13,0,0,4
"CD009372",282,"Wong 2011",1,0.857526302337646,1,0.988235294117647,0.936186824125402,0.999702363855699,24,1,0,84
"CD009372",282,"Yeung 2009",1,0.831566333770752,1,0.888888888888889,0.708413441975911,0.97647221883138,20,3,0,24
"CD009372",282,"Yoon 2009",0.944444444444444,0.727056476804945,0.998594072129991,1,0.940370082855225,1,17,0,1,60
"CD009519",284,"Bille 2013",0.466666666666667,0.336698849995931,0.600035349527995,0.955631399317406,0.925323629542015,0.97616751608995,28,13,32,280
"CD009519",284,"Bryant 2006a",0.916083916083916,0.858003512962715,0.955886627410675,0.855263157894737,0.802781864216453,0.89822887119494,131,33,12,195
"CD009519",284,"Carnochan 2009",0.513513513513513,0.343996795448097,0.68078546266298,0.828025477707006,0.759738660921716,0.8835030452461,19,27,18,130
"CD009519",284,"Chen 2010",1,0.887811183929443,1,0.96,0.796482696533203,0.998987731933594,31,1,0,24
"CD009519",284,"Czepczynski 2011",1,0.663733005523682,1,1,0.915915966033936,1,9,0,0,42
"CD009519",284,"Darling 2011",0.7,0.457211065292358,0.881068134307861,0.937984496124031,0.881460378336352,0.972848818283673,14,8,6,121
"CD009519",284,"De Wever 2007",0.909090909090909,0.587220191955566,0.99770112471147,0.846153846153846,0.69472023156973,0.941376025860126,10,6,1,33
"CD009519",284,"El-Hariri 2012",0.857142857142857,0.421277046203613,0.996389933994838,0.923076923076923,0.748696694007287,0.99054453923152,6,2,1,24
"CD009519",284,"Fischer 2011",0.692307692307692,0.482103384458102,0.856740217942458,0.811320754716981,0.680275836080875,0.905630507559146,18,10,8,43
"CD009519",284,"Gunluoglu 2011",0.714285714285714,0.567370482853481,0.834157943725586,0.747899159663866,0.66006821143527,0.822996924905216,35,30,14,89
"CD009519",284,"Harders 2012",0.5,0.312970638275146,0.687029361724854,0.738095238095238,0.630745535805112,0.828024591718401,15,22,15,62
"CD009519",284,"Hu 2011",0.852941176470588,0.689434402129229,0.950471485362334,0.632352941176471,0.506678812644061,0.746102094650268,29,25,5,43
"CD009519",284,"Hwangbo 2009",0.7,0.506041288375854,0.85265474319458,0.597701149425287,0.487068899746599,0.701485195379148,21,35,9,52
"CD009519",284,"Iskender 2012",0.91304347826087,0.820278976274573,0.967416846233865,0.700460829493088,0.634760228170228,0.76058913815406,63,65,6,152
"CD009519",284,"Jeon 2010",0.615384615384615,0.470184619610126,0.746953157278208,0.949367088607595,0.902672206299214,0.977889435200751,32,8,20,150
"CD009519",284,"Kim 2007",0.611111111111111,0.535762230555217,0.682736025916206,0.95748987854251,0.935750452613058,0.973496363713191,110,21,70,473
"CD009519",284,"Koksal 2013",0.666666666666667,0.348875363667806,0.900753974914551,0.681159420289855,0.557945410410563,0.78825198740199,8,22,4,47
"CD009519",284,"Kuo 2012",0.526315789473684,0.288643335041247,0.755525739569413,0.795180722891566,0.692444525569318,0.875919181180288,10,17,9,66
"CD009519",284,"Lee 2007",0.857142857142857,0.673347064426967,0.95966420854841,0.806122448979592,0.713911723117439,0.879048036069286,24,19,4,79
"CD009519",284,"Lee 2009a",0.805555555555556,0.639751818444994,0.918056646982829,0.726027397260274,0.646135206091894,0.796507064610311,29,40,7,106
"CD009519",284,"Lee 2011",0.466666666666667,0.21266663869222,0.734138743082682,0.692307692307692,0.524308314690223,0.829804347111629,7,12,8,27
"CD009519",284,"Lee 2012",0.166666666666667,0.00421047210693359,0.641234477361043,0.896103896103896,0.83676577852918,0.939437668044846,1,16,5,138
"CD009519",284,"Li 2010",0.836734693877551,0.703429017748152,0.92677743094308,0.889908256880734,0.815586995641026,0.941803958437858,41,12,8,97
"CD009519",284,"Li 2012a",0.684210526315789,0.434498310089111,0.874239369442588,1,0.941318988800049,1,13,0,6,61
"CD009519",284,"Morikawa 2009",0.901639344262295,0.798103653016638,0.963040086089588,0.65625,0.468068853020668,0.814280599355698,55,11,6,21
"CD009519",284,"Ohnishi 2011",0.67741935483871,0.486270120066981,0.833176212926065,0.949367088607595,0.875405571128749,0.986034151874011,21,4,10,75
"CD009519",284,"Ohno 2011",0.761904761904762,0.528340294247582,0.917823700677781,1,0.984020709991455,1,16,0,5,229
"CD009519",284,"Ose 2012",0.5,0.230360507965088,0.769639492034912,0.948979591836735,0.884941913643662,0.983228955950056,7,5,7,93
"CD009519",284,"Ozkan 2011",0.785046728971963,0.69512852107253,0.858591293620172,0.652173913043478,0.497509811235511,0.786456232485564,84,16,23,30
"CD009519",284,"Perigaud 2009",0.4,0.121551895141602,0.737622165679932,0.853658536585366,0.708269898484393,0.944342357356374,4,6,6,35
"CD009519",284,"Plathow 2008",1,0.907487392425537,1,1,0.768364429473877,1,38,0,0,14
