"CDSR.id","ma.id","study.name","sens","sens.lb","sens.ub","spec","spec.lb","spec.ub","TP","FP","FN","TN"
"CD008122",70,"Dev 2004",1,0.804935932159424,1,1,0.752947330474854,1,17,0,0,13
"CD008122",70,"Ratsimbasoa 2007",0.859154929577465,0.756195316851978,0.93033744919468,0.943089430894309,0.886255884558205,0.976815386516292,61,7,10,116
"CD008122",71,"Chayani 2004",0.96875,0.911381706595421,0.993508815765381,1,0.973240375518799,1,93,0,3,136
"CD008122",71,"Cooke 1999",0.909722222222222,0.850570271412531,0.951051897472806,0.949416342412451,0.915053764669812,0.972795152478645,131,13,13,244
"CD008122",71,"Dev 2004",0.811764705882353,0.712394024344051,0.888405115464154,1,0.933968067169189,1,69,0,16,54
"CD008122",71,"Iqbal 2003",0.847328244274809,0.774104915502417,0.904179755057997,0.996245306633292,0.98906687472729,0.999224952821887,111,3,20,796
"CD008122",71,"Kolaczinski 2004",0.8,0.614333724975586,0.922864151000977,0.997867803837953,0.9881777204176,0.999946122484675,24,1,6,468
"CD008122",71,"Mens 2007a",1,0.292401790618896,1,1,0.975866794586182,1,3,0,0,151
"CD008122",71,"Mens 2007b",0.966666666666667,0.884718910853068,0.995937347412109,0.975806451612903,0.930924004124057,0.994982688657699,58,3,2,121
"CD008122",71,"Singh 2003a",0.958333333333333,0.788798312346141,0.998945554097494,1,0.93625020980835,1,23,0,1,56
"CD008122",71,"Singh 2003b",0.977272727272727,0.879758043722673,0.999424674294212,0.935483870967742,0.785783844609414,0.992088563980595,43,2,1,29
"CD008122",71,"Valecha 2003",0.87962962962963,0.828621100496363,0.919842931959364,0.989648033126294,0.97600867980262,0.996630745644895,190,5,26,478
"CD008122",72,"Mens 2007b",1,0.940370082855225,1,0.92741935483871,0.866689508961093,0.966276015004804,60,9,0,115
"CD008122",72,"Nigussie 2008b",1,0.967020511627197,1,0.651006711409396,0.568697426943171,0.727177587931588,110,52,0,97
"CD008122",73,"Bharti 2008",0.958333333333333,0.883025308450063,0.991323788960775,0.945205479452055,0.906242128920882,0.97136991317958,69,12,3,207
"CD008122",73,"Dev 2004",1,0.804935932159424,1,1,0.752947330474854,1,17,0,0,13
"CD008122",73,"Mens 2007b",1,0.940370082855225,1,0.92741935483871,0.866689508961093,0.966276015004804,60,9,0,115
"CD008122",73,"Nigussie 2008b",1,0.967020511627197,1,0.651006711409396,0.568697426943171,0.727177587931588,110,52,0,97
"CD008122",73,"Ratsimbasoa 2007",0.859154929577465,0.756195316851978,0.93033744919468,0.943089430894309,0.886255884558205,0.976815386516292,61,7,10,116
